               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024781,            0.018762,                   0,             0.97616,             0.98851,             0.98485,             0.59315,            0.023136,           0.0082254,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025345,            0.018469,                   0,              0.9763,             0.98851,             0.98452,             0.56892,            0.023512,           0.0083818,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.027614,            0.017725,                   0,             0.97603,             0.98851,             0.98469,             0.56308,             0.02409,           0.0082302,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025431,            0.018024,                   0,             0.97589,             0.98851,             0.98469,             0.58889,            0.021631,           0.0081673,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025608,            0.019287,                   0,             0.97594,             0.98851,             0.98458,             0.58678,            0.023282,            0.008184,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025876,            0.016544,                   0,             0.97625,             0.98851,              0.9846,              0.5943,            0.022402,           0.0080748,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023712,            0.017878,                   0,             0.97647,             0.98851,             0.98486,             0.60549,            0.022238,           0.0080433,                   0,            0.001486,            0.001486,            0.001486
                  45,              0.0295,            0.017458,                   0,             0.97653,             0.98851,             0.98487,             0.60888,            0.022737,           0.0080481,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024906,            0.016715,                   0,             0.97647,             0.98851,             0.98487,             0.60808,            0.022131,           0.0080409,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023854,            0.018115,                   0,             0.97642,             0.98851,             0.98451,             0.60388,            0.022214,           0.0080452,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025984,            0.018251,                   0,              0.9765,             0.98851,             0.98486,             0.60093,            0.022268,           0.0080342,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025402,            0.017242,                   0,             0.97665,             0.98851,             0.98486,             0.59998,            0.022387,           0.0080318,                   0,            0.000496,            0.000496,            0.000496
